,age,workclass,fnlwgt,education,educational-num,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
0,25,0,226802,5,7,0,7,2,1,0,0,0,40,0,0
1,38,0,89814,0,9,1,6,0,0,0,0,0,50,0,0
2,28,1,336951,13,12,1,11,0,0,0,0,0,40,0,1
3,44,0,160323,1,10,1,7,0,1,0,7688,0,40,0,1
5,34,0,198693,11,6,0,5,1,0,0,0,0,30,0,0
7,63,2,104626,8,15,1,3,0,0,0,3103,0,32,0,1
8,24,0,369667,1,10,0,5,3,0,1,0,0,40,0,0
9,55,0,104996,14,4,1,4,0,0,0,0,0,10,0,0
10,65,0,184454,0,9,1,7,0,0,0,6418,0,40,0,1
11,36,4,212465,2,13,1,1,0,0,0,0,0,40,0,0
12,26,0,82091,0,9,0,1,1,0,1,0,0,39,0,0
14,48,0,279724,0,9,1,7,0,0,0,3103,0,48,0,1
15,43,0,346189,3,14,1,0,0,0,0,0,0,50,0,1
16,20,3,444554,1,10,0,5,2,0,0,0,0,25,0,0
17,43,0,128354,0,9,1,1,4,0,1,0,0,30,0,0
18,37,0,60548,0,9,4,7,3,0,1,0,0,20,0,0
20,34,0,107914,2,13,1,10,0,0,0,0,0,47,0,1
21,34,0,238588,1,10,0,5,2,1,1,0,0,35,0,0
23,25,0,220931,2,13,0,3,1,0,0,0,0,43,20,0
24,25,0,205947,2,13,1,3,0,0,0,0,0,40,0,0
25,45,2,432824,0,9,1,4,0,0,0,7298,0,90,0,1
26,22,0,236427,0,9,0,1,2,0,0,0,0,20,0,0
27,23,0,134446,0,9,3,7,3,1,0,0,0,54,0,0
28,54,0,99516,0,9,1,4,0,0,0,0,0,35,0,0
29,32,2,109282,1,10,0,3,1,0,0,0,0,60,0,0
30,46,3,106444,1,10,1,0,0,1,0,7688,0,38,0,1
31,56,2,186651,5,7,4,5,3,0,1,0,0,50,0,0
32,24,2,188274,2,13,0,2,1,0,0,0,0,50,0,0
33,23,1,258120,1,10,1,11,0,0,0,0,0,40,0,0
34,26,0,43311,0,9,2,0,3,0,1,0,0,40,0,0
36,36,1,403681,2,13,1,3,0,0,0,0,0,40,0,1
37,22,0,248446,12,3,0,12,1,0,0,0,0,50,22,0
38,17,0,269430,11,6,0,7,1,0,0,0,0,40,0,0
39,20,0,257509,0,9,0,4,2,0,0,0,0,40,0,0
